Key,File,Type,UsedInMainMenu,NoTranslate,english
rbtTreeSeedVariantHelper,blocks,Block,,,"Bag of tree seeds"
rbtTreeSeedVariantHelperDesc,blocks,Variant,,,"With this bag on your hotbar, hold the Reload action and select a seed from the radial menu. Click or Shift-Click to select a seed to plant."

rbtAllTreesRandomHelper,blocks,Block,,,"Tree randomizer for respawn"
rbtAllTreesRandomHelperDesc,blocks,block,,,"Will randomly select a biome appropriate tree for a respawn event."

rbtAllCactiRandomHelper,blocks,Block,,,"Cacti randomizer for respawn"
rbtAllCactiRandomHelperDesc,blocks,block,,,"Will randomly select biome appropriate flora for a respawn event."

rbtAllBouldersRandomHelper,blocks,Block,,,"Boulder randomizer for respawn"
rbtAllBouldersRandomHelperDesc,blocks,block,,,"Will randomly select a boulder for a respawn event."

rbtTreeStumpPineForestRandomRespawner,blocks,Block,,,"Pine forest tree respawner"
rbtTreeStumpPineForestRandomRespawnerDesc,blocks,block,,,"Will respawn a random, biome appropiate tree after a set time."

rbtTreeStumpBurntRandomRespawner,blocks,Block,,,"Burnt forest tree respawner"
rbtTreeStumpBurntRandomRespawnerDesc,blocks,block,,,"Lower harvest results.  Will respawn a random, biome appropiate tree after a set time."

rbtTreeStumpDesertRandomRespawner,blocks,Block,,,"Desert tree respawner"
rbtTreeStumpDesertRandomRespawnerDesc,blocks,block,,,"Lowest harvest results.  Will respawn a random, biome appropiate tree after a set time."

rbtTreeStumpSnowRandomRespawner,blocks,Block,,,"Snow biome tree respawner"
rbtTreeStumpSnowRandomRespawnerDesc,blocks,block,,,"Lower harvest results.  Will respawn a random, biome appropiate tree after a set time."

rbtTreeStumpWastelandRandomRespawner,blocks,Block,,,"Wasteland tree respawner"
rbtTreeStumpWastelandRandomRespawnerDesc,blocks,block,,,"Negligible harvest results.  Will respawn a random, biome appropiate tree after a set time."

rbtBirdNestRespawner,blocks,Block,,,"Bird nest respawner"
rbtBirdNestRespawnerDesc,blocks,Block,,,"Will spawn a new bird's nest after a set time."

rbtCactiRandomRespawner,blocks,Block,,,"Desert flora respawner"
rbtCactiRandomRespawnerDesc,blocks,block,,,"Will respawn random, biome appropriate flora after a set time."

rbtDriftwoodRandomRespawner,blocks,Block,,,"Desert driftwood respawner"
rbtDriftwoodRandomRespawnerDesc,blocks,block,,,"Will respawn a random piece of driftwood after a set time."

rbtAllDriftwoodRandomHelper,blocks,Block,,,"Driftwood randomizer for respawn"
rbtAllDriftwoodRandomHelperDesc,blocks,block,,,"Will randomly select piece of driftwood for a respawn event."

rbtAllBoulderRandomRespawner,blocks,Block,,,"Boulder respawner"
rbtAllBoulderRandomRespawnerDesc,blocks,block,,,"Will respawn a random boulder after a set time."

rbtChrysanthemumRespawner,blocks,Block,,,"Chrysanthemum respawner"
rbtChrysanthemumRespawnerDesc,blocks,block,,,"Will respawn a chrysanthemum plant after a set time."

rbtCottonRespawner,blocks,Block,,,"Cotton respawner"
rbtCottonRespawnerDesc,blocks,block,,,"Will respawn a cotton plant after a set time."

rbtGoldenrodRespawner,blocks,Block,,,"Goldenrod respawner"
rbtGoldenrodRespawnerDesc,blocks,block,,,"Will respawn a goldenrod plant after a set time."

rbtTreeDeadPineLeafRespawner,blocks,Block,,,"Dead pine leaf respawner"
rbtTreeDeadPineLeafRespawnerDesc,blocks,block,,,"Will respawn a leafless shrub, commonly found in the Forest biome, after a set time."

rbtPlantShrubRespawner,blocks,Block,,,"Shrub respawner"
rbtPlantShrubRespawnerDesc,blocks,block,,,"Will respawn a biome appropiate shrub after a set time."

rbtAllVehiclesRandomHelper,blocks,Block,,,"Vehicle randomizer for respawn"
rbtAllVehiclesRandomHelperDesc,blocks,block,,,"Will randomly select a vehicle for a respawn event."

rbtAllSedansRandomHelper,blocks,Block,,,"Sedan randomizer for respawn"
rbtAllSedansRandomHelperDesc,blocks,block,,,"Will randomly select a sedan style vehicle for a respawn event."

rbtAllMinivansRandomHelper,blocks,Block,,,"Minivan randomizer for respawn"
rbtAllMinivansRandomHelperDesc,blocks,block,,,"Will randomly select a minivan style vehicle for a respawn event."

